M  = 7648
NX = 200
NY = 200

u_rad, v_rad, vis_r, vis_i, noise_std_dev

-4.672802e-02, 1.706142e-01, 5.345490e-01, 1.808081e+00, 5.096188e-01
2.499563e-01, 5.510081e-02, 3.676413e-01, 1.025391e+00, 6.272188e-01
-8.309392e-02, 1.543893e-01, -3.171192e+00, 2.414927e+00, 5.846204e-01
-3.247672e-02, 1.169256e-01, 2.984586e-01, 3.386321e+00, 8.529291e-01
9.420372e-02, 6.268270e-02, 1.642267e+00, -7.082588e+00, 4.440296e-01
-7.915499e-02, 9.897113e-02, -3.018256e+00, -1.085236e+00, 5.718453e-01
-5.144632e-02, 1.312501e-01, -1.880798e+00, -6.022135e-01, 4.073451e-01
2.758810e-01, 3.230939e-01, -2.360774e+00, 4.089197e+00, 5.503682e-01
2.966157e-01, -1.155139e-01, 2.206083e+00, 9.622758e-01, 7.678480e-02
-3.636433e-02, -1.622531e-02, 5.245925e+00, 7.211260e+00, 5.515859e-01
1.425161e-02, -5.368877e-02, -4.275639e+00, 2.603518e+00, 1.101068e-01
1.409298e-01, -1.079315e-01, -2.758099e+00, -1.291783e+00, 5.187594e-02
-3.242165e-02, -7.164310e-02, -3.394641e+00, -7.207813e+00, 1.486532e-01
-4.717658e-03, -3.936435e-02, -1.780062e+00, -8.747579e+00, 3.050428e-01
3.225271e-01, 1.524788e-01, -2.877805e+00, 1.653479e+00, 1.026213e-01
-3.330065e-01, 9.928907e-02, 1.226841e+00, 1.645039e+00, 1.168094e-01
-2.823784e-01, 6.182494e-02, -7.393178e-01, 2.512234e+00, 1.307218e-01
-1.556734e-01, 7.580783e-03, -3.324728e+00, -1.019817e-02, 9.181799e-02
-3.290924e-01, 4.387142e-02, -2.387598e+00, -1.430130e+00, 1.049289e-01
-3.013514e-01, 7.614975e-02, -2.284334e+00, -2.033947e+00, 1.585998e-01
2.590421e-02, 2.679939e-01, -2.139371e+00, 2.027868e+00, 1.304437e-01
5.061614e-02, -3.746352e-02, 1.769958e+00, 2.082367e+00, 1.927124e-01
1.772946e-01, -9.170603e-02, -2.796052e+00, 1.785823e+00, 2.078626e-01
3.943082e-03, -5.541750e-02, -6.176205e+00, -6.968155e-01, 4.287109e-01
3.164684e-02, -2.313894e-02, -6.075545e+00, -1.780744e+00, 4.346824e-01
3.589231e-01, 1.687037e-01, 1.033679e+00, 3.124155e+00, 1.963542e-01
1.266786e-01, -5.424261e-02, -2.342882e+00, -2.262130e-01, 1.185758e-01
-4.667347e-02, -1.795411e-02, 2.722901e-01, 8.442463e+00, 2.229765e-01
-1.896931e-02, 1.432458e-02, -1.657164e+00, 9.365395e+00, 3.592345e-01
3.082928e-01, 2.061679e-01, 4.216769e+00, 2.131285e+00, 2.110676e-01
-1.733526e-01, 3.628850e-02, 9.147411e-01, -2.573192e-01, 6.825983e-02
-1.456479e-01, 6.856714e-02, 1.200997e+00, 4.230302e-01, 6.789540e-02
1.815827e-01, 2.604122e-01, -2.382009e+00, -1.265424e+00, 8.991639e-02
2.770407e-02, 3.227876e-02, 1.144229e+01, 1.117213e+00, 3.841159e-01
3.550143e-01, 2.241214e-01, 8.796124e-01, -4.898916e+00, 9.691766e-02
3.272667e-01, 1.918430e-01, -2.784576e-02, -4.731722e+00, 2.343843e-01
-4.632313e-02, 1.706177e-01, 5.926865e-01, 1.820070e+00, 4.195343e-01
2.504981e-01, 5.508602e-02, 6.829080e-01, 1.797694e+00, 4.048776e-01
-8.283964e-02, 1.543954e-01, -2.724186e+00, 1.692985e+00, 4.307076e-01
-3.215427e-02, 1.169280e-01, -1.410839e+00, 4.758223e+00, 8.282455e-01
9.467951e-02, 6.267606e-02, 9.490559e-01, -7.139963e+00, 4.247753e-01
-7.905749e-02, 9.897704e-02, -2.817728e+00, -9.848004e-01, 5.458139e-01
-5.114464e-02, 1.312538e-01, -1.886190e+00, -6.864901e-01, 3.798154e-01
2.766860e-01, 3.230783e-01, -2.269304e+00, 3.510052e+00, 3.694384e-01
2.968216e-01, -1.155317e-01, 2.182199e+00, 8.925580e-01, 4.482433e-02
-3.651643e-02, -1.622271e-02, 5.776570e+00, 7.903055e+00, 4.335606e-01
1.416909e-02, -5.368981e-02, -4.337444e+00, 2.179702e+00, 1.035518e-01
1.410031e-01, -1.079416e-01, -2.869954e+00, -9.194553e-01, 5.213311e-02
-3.273549e-02, -7.164081e-02, -3.874371e+00, -7.194392e+00, 1.643462e-01
-4.821299e-03, -3.936404e-02, -1.927653e+00, -8.931030e+00, 2.130794e-01
3.230093e-01, 1.524603e-01, -2.887070e+00, 2.101437e+00, 5.961711e-02
-3.333377e-01, 9.930890e-02, 1.065785e+00, 1.481574e+00, 9.253623e-02
-2.826522e-01, 6.184173e-02, -1.109163e+00, 2.287412e+00, 9.828035e-02
-1.558183e-01, 7.590035e-03, -3.243286e+00, 1.510320e-01, 5.470185e-02
-3.295574e-01, 4.389101e-02, -2.564126e+00, -1.522006e+00, 7.706251e-02
-3.016429e-01, 7.616770e-02, -2.204630e+00, -2.173796e+00, 9.783516e-02
2.618726e-02, 2.679929e-01, -2.227623e+00, 2.152973e+00, 6.824439e-02
5.068542e-02, -3.746716e-02, 1.650750e+00, 2.167729e+00, 1.411509e-01
1.775193e-01, -9.171877e-02, -2.544017e+00, 2.149280e+00, 1.628142e-01
3.781450e-03, -5.541781e-02, -6.657654e+00, -2.918171e-01, 3.154289e-01
3.169508e-02, -2.314122e-02, -6.405839e+00, -1.622228e+00, 3.435334e-01
3.595254e-01, 1.686830e-01, 9.882575e-01, 2.860211e+00, 1.527933e-01
1.268339e-01, -5.425170e-02, -2.336188e+00, 1.141410e-01, 9.337807e-02
-4.690415e-02, -1.795078e-02, 1.561008e+00, 8.087956e+00, 2.434318e-01
-1.899038e-02, 1.432595e-02, -4.640003e-01, 9.065960e+00, 2.249995e-01
3.088397e-01, 2.061503e-01, 4.657667e+00, 1.250303e+00, 8.647597e-02
-1.737384e-01, 3.630093e-02, 1.038038e+00, -1.672531e-01, 5.189692e-02
